['SN2023gpw', 'host', np.float64(53.668778999999624), np.float64(-5.853040964), '']
['SN2023grn', 'host', np.float64(118.25999999999935), np.float64(-12.960589), '']
['SN2023gss', 'host', np.float64(286.47131699999954), np.float64(-27.14945821), '']
['SN2023guy', 'host', np.float64(29.71337999999974), np.float64(7.93066328), '']
['SN2023gxf', 'host', np.float64(258.38122799999934), np.float64(19.17233617), '']
['SN2023hcp', 'host', np.float64(182.6701814999994), np.float64(35.94928691), '']
['SN2023hro', 'host', np.float64(344.1640649999993), np.float64(-20.15823271), '']
['SN2023hrw', 'host', np.float64(193.3077869999995), np.float64(29.99752805), '']
['SN2023hsw', 'host', np.float64(346.2475559999995), np.float64(10.0430612), '']
['SN2023hsy', 'host', np.float64(351.64123799999965), np.float64(11.19254412), '']
['SN2023huy', 'host', np.float64(104.4231674999996), np.float64(-16.20507455), '']
['SN2023hwg', 'host', np.float64(178.8490244999994), np.float64(9.669897476), '']
['SN2023hwm', 'host', np.float64(8.956984499999548), np.float64(53.19942141), '']
['SN2023hym', 'host', np.float64(320.94877499999933), np.float64(-45.4291125), '']
['SN2023hzy', 'host', np.float64(236.65558499999958), np.float64(0.464147952), '']
['SN2023iex', 'host', np.float64(194.7543719999987), np.float64(24.65962742), '']
['SN2023ijd', 'host', np.float64(317.02940099999944), np.float64(11.22214082), '']
['SN2023iks', 'host', np.float64(357.04689149999933), np.float64(6.774598605), '']
['SN2023iop', 'host', np.float64(55.16867387999999), np.float64(21.85938029), '']
['SN2023iuc', 'host', np.float64(55.97767649999937), np.float64(2.287264276), '']
['SN2023iwy', 'host', np.float64(91.16386499999889), np.float64(26.40889865), '']
['SN2023ixf', 'host', np.float64(283.66011899999944), np.float64(54.31165107), '']
['SN2023jac', 'host', np.float64(225.33382199999974), np.float64(51.93197654), '']
['SN2023jac', 'host', np.float64(225.33382199999974), np.float64(51.93197654), '']
['SN2023jgf', 'host', np.float64(257.1971864999994), np.float64(-0.736291661), '']
['SN2023jvu', 'host', np.float64(142.54031849999973), np.float64(55.4050939), '']
['SN2023jwr', 'host', np.float64(199.16224199999957), np.float64(11.36407225), '']
['SN2023jww', 'host', np.float64(87.64665149999898), np.float64(17.26007466), '']
['SN2023kmj', 'host', np.float64(136.72760549999975), np.float64(6.454556702), '']
['SN2023lcr', 'host', np.float64(118.58852249999954), np.float64(26.36619616), '']
['SN2023lcr', 'host', np.float64(118.58852249999954), np.float64(26.36619616), '']
['SN2023mde', 'host', np.float64(267.82718099999994), np.float64(13.56919214), '']
['SN2023mtp', 'host', np.float64(278.0347499999992), np.float64(81.074837), '']
['SN2023mut', 'host', np.float64(2.1467297999998887), np.float64(0.246752524), '']
['SN2023mvl', 'host', np.float64(111.2800754999992), np.float64(-21.26269168), '']
['SN2023nlk', 'host', np.float64(303.3309719999995), np.float64(22.20978181), '']
